City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Tambovka,RU,83.77,scattered clouds,50.0969,128.0489,Lyzhnaya Gorka
231,Basoko,CD,80.64,overcast clouds,1.2391,23.616,Jackyna Hotel
236,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
237,Kavieng,PG,82.94,light rain,-2.5744,150.7967,Nusa Island Retreat
238,Isangel,VU,77.38,broken clouds,-19.55,169.2667,Tanna Lodge
241,Riverton,US,76.24,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
242,Kologriv,RU,82.42,few clouds,58.8275,44.3178,Postoyalyy Dvor
252,Ambad,IN,83.17,overcast clouds,19.6167,75.8,"चांगले नगर, अंबड शहर"
255,Akyab,MM,84.09,overcast clouds,20.15,92.9,Hotel Memory
257,Le Vauclin,MQ,79.84,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
258,Mubi,NG,79.23,overcast clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
259,Acajutla,SV,76.48,overcast clouds,13.5928,-89.8275,Laureles
260,Nerchinskiy Zavod,RU,76.96,overcast clouds,51.3088,119.61,Gostinitsa
261,Mersing,MY,89.51,scattered clouds,2.4312,103.8405,Timotel Hotel
262,Nalgonda,IN,85.57,overcast clouds,17.05,79.2667,Sai Krishna Residency
263,Vila Franca Do Campo,PT,75.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
264,Faya,SA,75.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
265,Beyneu,KZ,82.9,overcast clouds,45.3167,55.2,NUR
268,Tam Ky,VN,89.11,few clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
269,Cukai,MY,89.55,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
270,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
277,Westport,US,81.01,clear sky,41.1415,-73.3579,The Westport Inn
282,Wanning,CN,88.05,few clouds,18.8003,110.3967,Paradise Hotel
285,Atbasar,KZ,85.5,scattered clouds,51.8,68.3333,Гостиничный Комплекс Saad
