City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Thompson,CA,55.7435,-97.8558,48.36,81,40,0.0,scattered clouds
126,Birao,CF,10.2849,22.7882,82.33,66,100,5.37,overcast clouds
127,Dikson,RU,73.5069,80.5464,55.62,62,53,22.57,broken clouds
128,Teahupoo,PF,-17.8333,-149.2667,67.96,81,36,12.21,moderate rain
129,Najran,SA,17.4924,44.1277,83.05,38,100,6.91,overcast clouds
130,Palasbari,IN,26.1361,91.5486,82.45,74,75,0.0,haze
131,Lebu,CL,-37.6167,-73.65,53.28,89,100,15.1,light rain
132,Pandharpur,IN,17.6667,75.3333,81.77,63,100,11.83,overcast clouds
133,Tokmak,UA,47.2514,35.7058,81.66,38,100,12.8,overcast clouds
134,Nikolskoye,RU,59.7035,30.7861,70.88,75,94,6.24,overcast clouds
135,Bandarbeyla,SO,9.4942,50.8122,88.65,44,79,29.15,broken clouds
136,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,88,0,12.66,clear sky
137,Lompoc,US,34.6391,-120.4579,56.57,88,100,8.99,mist
138,Hithadhoo,MV,-0.6,73.0833,82.31,72,7,9.98,clear sky
139,Russell,US,32.3502,-85.1999,74.8,94,0,3.44,clear sky
140,Sibolga,ID,1.7427,98.7792,74.66,96,100,4.43,overcast clouds
141,Lavrentiya,RU,65.5833,-171.0,41.99,90,100,11.01,overcast clouds
142,Araouane,ML,18.9048,-3.5265,89.53,42,44,10.94,scattered clouds
143,Ola,RU,59.5833,151.2833,64.15,77,91,5.97,overcast clouds
144,Bereda,ES,43.2686,-7.5406,67.41,100,90,1.81,overcast clouds
145,Rosario,AR,-32.9468,-60.6393,59.95,99,100,5.75,fog
146,Port Augusta,AU,-32.5,137.7667,56.17,48,9,10.4,clear sky
147,Asau,RO,46.4333,26.4,72.52,60,57,3.47,broken clouds
148,Aksarka,RU,66.5606,67.7975,57.99,52,82,16.2,broken clouds
149,Kendari,ID,-3.945,122.4989,79.97,82,55,4.72,broken clouds
150,Karratha,AU,-20.7377,116.8463,75.31,38,0,14.12,clear sky
151,Gizo,SB,-8.103,156.8419,82.76,76,16,6.85,light rain
152,Saint George,US,37.1041,-113.5841,90.19,33,0,5.75,clear sky
153,Sharan,RU,54.8167,54.0,80.15,55,13,4.81,few clouds
154,Camacha,PT,33.0833,-16.3333,69.22,88,20,13.8,few clouds
155,Viedma,AR,-40.8135,-62.9967,45.21,75,100,10.49,moderate rain
156,Tilichiki,RU,60.4667,166.1,56.17,75,100,7.96,light rain
157,North Bend,US,43.4065,-124.2243,56.91,99,100,9.22,mist
158,Qinhuangdao,CN,39.9317,119.5883,84.88,65,100,15.03,overcast clouds
159,Tautira,PF,-17.7333,-149.15,77.47,81,29,11.77,moderate rain
160,Tasiilaq,GL,65.6145,-37.6368,42.96,88,100,2.39,overcast clouds
161,Moron,AR,-34.6534,-58.6198,56.89,97,100,9.89,overcast clouds
162,Torbay,CA,47.6666,-52.7314,68.88,83,75,13.8,broken clouds
163,Ayios Nikolaos,GR,38.4167,23.65,94.75,35,20,4.61,few clouds
164,East London,ZA,-33.0153,27.9116,58.14,67,0,5.75,clear sky
165,Flinders,AU,-34.5833,150.8552,60.39,77,37,9.01,scattered clouds
166,Saldanha,ZA,-33.0117,17.9442,53.65,47,0,10.25,clear sky
167,Sangar,RU,63.9242,127.4739,76.59,53,9,2.51,clear sky
168,Urumqi,CN,43.801,87.6005,88.75,21,0,8.95,clear sky
169,Florence,IT,43.7667,11.25,88.79,77,0,1.14,clear sky
170,Alta Floresta,BR,-9.8756,-56.0861,65.53,58,9,2.53,clear sky
171,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,2.3,broken clouds
172,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.54,45,100,8.08,light rain
173,Sitka,US,57.0531,-135.33,55.29,94,100,3.44,light intensity drizzle
174,Annau,TM,37.8876,58.516,94.5,29,20,9.22,few clouds
175,Hasilpur,PK,29.7122,72.5553,98.78,42,71,12.03,broken clouds
176,Kuytun,RU,54.3419,101.5036,75.51,46,100,4.92,overcast clouds
177,Keuruu,FI,62.2667,24.7,68.18,48,57,5.64,broken clouds
